               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.020589,            0.010843,            0.023328,             0.95655,               0.975,             0.98902,             0.78874,           0.0089779,           0.0027202,           0.0017119,           0.0089902,           0.0089902,           0.0089902
                 104,            0.020022,            0.010961,            0.022284,             0.96523,             0.96942,             0.98797,             0.78694,           0.0090277,           0.0027939,           0.0017112,           0.0089803,           0.0089803,           0.0089803
                 105,            0.019563,            0.010751,            0.020574,             0.96367,             0.97336,             0.98858,             0.79119,           0.0096191,           0.0028136,           0.0014871,           0.0089704,           0.0089704,           0.0089704
                 106,            0.021217,            0.010779,            0.023191,             0.95105,             0.95864,             0.98474,             0.78608,           0.0094281,           0.0028029,           0.0024037,           0.0089605,           0.0089605,           0.0089605
                 107,            0.019426,            0.010579,            0.022548,             0.95645,             0.97486,             0.98975,             0.79068,           0.0091359,           0.0027827,           0.0014814,           0.0089506,           0.0089506,           0.0089506
                 108,            0.019715,             0.01123,            0.024391,              0.9462,             0.96804,             0.98116,               0.784,            0.009231,           0.0029007,            0.002512,           0.0089407,           0.0089407,           0.0089407
                 109,            0.021132,            0.011047,            0.023633,             0.94675,              0.9697,             0.98365,             0.78106,           0.0091077,            0.002914,           0.0027021,           0.0089308,           0.0089308,           0.0089308
                 110,            0.018924,            0.010725,            0.022063,             0.97351,             0.97354,             0.99074,             0.79854,           0.0091264,           0.0027857,            0.001445,           0.0089209,           0.0089209,           0.0089209
                 111,            0.019491,            0.011024,            0.020922,              0.9625,             0.96393,              0.9775,             0.78604,           0.0087385,           0.0028111,           0.0016729,            0.008911,            0.008911,            0.008911
                 112,            0.019949,            0.011066,            0.021606,             0.97632,             0.96949,             0.98532,             0.77987,           0.0095178,           0.0029246,           0.0016729,           0.0089011,           0.0089011,           0.0089011
                 113,            0.019735,            0.010946,            0.022304,             0.95977,              0.9624,             0.98363,               0.794,           0.0089704,           0.0028113,           0.0019352,           0.0088912,           0.0088912,           0.0088912
                 114,            0.019624,            0.010769,            0.021724,             0.96103,              0.9598,             0.98317,             0.78932,           0.0088623,            0.002837,           0.0024077,           0.0088813,           0.0088813,           0.0088813
